testId,label,location,completed_time_stamp,completed_time,run_no,loadTime,fullyLoaded,bytesIn,bytesInDoc,requests,requestsDoc,TTFB,firstPaint,render,SpeedIndex,docTime,ttfb_first_req,ssl_first_req,dns_first_req
171108_EG_BX,h1,WPTServer100:Chrome,1510215941,2017-11-09_03-25-41,1,15902,15902,634911,0,86,0,7497,0,15800,15885,0,7260,104,0
171108_60_6B,h1,WPTServer102:Chrome,1510172803,2017-11-08_15-26-43,8,45054,46018,929154,927960,97,95,1511,43801,43800,44497,45054,1284,111,0
171108_60_6B,h1,WPTServer102:Chrome,1510172803,2017-11-08_15-26-43,18,25006,25094,963762,962612,98,97,1010,2680,2700,11964,25006,766,119,0
171108_60_6B,h1,WPTServer102:Chrome,1510172803,2017-11-08_15-26-43,2,24283,24352,1006265,1005115,99,98,1432,22778,22700,23424,24283,1216,92,0
171108_60_6B,h1,WPTServer102:Chrome,1510172803,2017-11-08_15-26-43,19,23829,23904,882269,881119,99,98,1005,22335,22300,23013,23829,767,85,0
171108_GH_6A,h1,WPTServer101:Chrome,1510172778,2017-11-08_15-26-18,13,44898,45030,950278,949128,99,98,1018,2655,2600,20966,44898,766,98,0
171108_GH_6A,h1,WPTServer101:Chrome,1510172778,2017-11-08_15-26-18,19,45051,45165,1090232,1089082,99,98,984,2614,2600,21029,45051,757,110,0
171108_NN_B1,h1,WPTServer102:Chrome,1510204167,2017-11-09_00-09-27,8,6081,6602,1041090,1039896,99,97,1029,4469,4500,5185,6081,799,110,0
171108_YZ_69,h1,WPTServer100:Chrome,1510172706,2017-11-08_15-25-06,4,4286,4999,951761,950567,99,97,1141,2750,2800,3501,4286,942,83,0
171108_YZ_69,h1,WPTServer100:Chrome,1510172706,2017-11-08_15-25-06,5,24662,24740,911578,910428,99,98,1789,23110,23100,23867,24662,755,83,0
171108_YZ_69,h1,WPTServer100:Chrome,1510172706,2017-11-08_15-25-06,11,24250,24323,940596,939446,99,98,1417,22760,22800,23485,24250,1192,108,0
171108_06_B0,h1,WPTServer101:Chrome,1510204067,2017-11-09_00-07-47,2,4065,4773,1019385,1018191,100,98,959,2597,2500,3221,4065,765,79,0
171108_06_B0,h1,WPTServer101:Chrome,1510204067,2017-11-09_00-07-47,3,4165,4974,963169,961975,100,98,994,2583,2600,3336,4165,761,109,0
171108_06_B0,h1,WPTServer101:Chrome,1510204067,2017-11-09_00-07-47,4,4546,5407,1004860,1003666,100,98,1462,3045,3100,3807,4546,1219,84,0
171108_06_B0,h1,WPTServer101:Chrome,1510204067,2017-11-09_00-07-47,5,4602,5298,979335,978141,100,98,1492,3054,3000,3801,4602,1249,82,0
171108_06_B0,h1,WPTServer101:Chrome,1510204067,2017-11-09_00-07-47,6,4060,4751,1037065,1035871,100,98,1011,2590,2600,3282,4060,763,103,0
171108_06_B0,h1,WPTServer101:Chrome,1510204067,2017-11-09_00-07-47,8,4406,5044,1013253,1012059,100,98,1059,2746,2700,3468,4406,817,91,0
171108_06_B0,h1,WPTServer101:Chrome,1510204067,2017-11-09_00-07-47,9,4350,4931,999039,997845,100,98,1019,2633,2700,3407,4350,796,107,0
171108_06_B0,h1,WPTServer101:Chrome,1510204067,2017-11-09_00-07-47,10,4056,4744,992984,991790,100,98,988,2589,2600,3348,4056,794,78,0
171108_06_B0,h1,WPTServer101:Chrome,1510204067,2017-11-09_00-07-47,14,14983,15057,1057477,1056327,100,99,957,12990,13000,13736,14983,757,77,0
171108_06_B0,h1,WPTServer101:Chrome,1510204067,2017-11-09_00-07-47,15,4570,4877,1047024,1045830,100,98,982,2598,2600,3343,4570,758,103,0
171108_06_B0,h1,WPTServer101:Chrome,1510204067,2017-11-09_00-07-47,19,4126,4937,1014026,1012832,100,98,975,2551,2600,3307,4126,780,80,0
171108_1K_86,h1,WPTServer101:Chrome,1510185653,2017-11-08_19-00-53,2,4208,4916,1019946,1018752,100,98,1056,2708,2600,3426,4208,800,117,0
171108_1K_86,h1,WPTServer101:Chrome,1510185653,2017-11-08_19-00-53,4,5242,5632,949367,948173,100,98,1043,3745,3800,4415,5242,820,84,0
171108_1K_86,h1,WPTServer101:Chrome,1510185653,2017-11-08_19-00-53,5,4221,4917,955475,954281,100,98,1026,2665,2700,3394,4221,801,85,0
171108_1K_86,h1,WPTServer101:Chrome,1510185653,2017-11-08_19-00-53,6,4220,4900,1002289,1001095,100,98,986,2654,2700,3425,4220,759,112,0
171108_1K_86,h1,WPTServer101:Chrome,1510185653,2017-11-08_19-00-53,7,4256,4845,974174,972980,100,98,1013,2603,2600,3382,4256,769,107,0
